,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,Voluntary,"Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training","Voluntary + training",Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary,Sedentary
Primary_Visual_Cortex_Monocular_Area,1.83580400,1.90724600,1.75297200,2.07509900,2.49955900,2.29489200,2.05322900,2.28906000,,2.41280800,2.19192100,2.36979700,1.81402500,2.12066100,1.95590700,2.49163100,2.14982100,2.20677400,2.02607300,2.10608100,2.13095800,2.21060100,1.68326100,2.13214300,1.97066900,1.94597400,1.94734100
Secondary_Visual_CortexLateral_Area,0.98979980,1.00583800,0.94387270,1.13341300,1.32586900,1.22517600,1.24686300,1.09887600,,1.44250900,1.09823900,1.55140300,0.97540210,1.31557200,0.96701850,1.41562700,1.10334200,1.19419300,1.05185600,1.17441900,1.12293300,1.12001700,0.89074690,1.06306400,1.03445100,0.96282680,1.10826200
Secondary_Visual_Cortex_Mediolateral_Area,0.48241580,0.44532790,0.51285150,0.53590610,0.65646450,0.60944400,0.54000680,0.56014540,,0.62484410,0.51266930,0.61035530,0.44250300,0.65983620,0.49143710,0.61363580,0.55686490,0.57900830,0.47257430,0.50829520,0.51731660,0.55148850,0.46027240,0.49945610,0.52852500,0.51358050,0.50000290
Secondary_Visual_Cortex_Mediomedial_Area,0.95362320,0.89439190,0.94350830,1.01030300,1.25588500,1.02552100,1.08867000,1.12001700,,1.17979500,1.09668900,1.12721600,0.82987540,1.15500900,1.05203800,1.19647100,0.96738300,1.09122200,0.92136490,0.94596860,0.96118650,0.96063980,0.80891660,0.97212150,0.91525950,0.91607960,0.90168190
Ventral_Orbital_Cortex,0.71050170,0.66475690,0.67386940,0.83807670,0.74193980,0.78968930,0.66129420,0.81812030,,0.80399590,0.71478450,0.71961410,0.74257770,0.78449520,0.61573170,0.67951910,0.86158690,0.72143660,0.74503800,0.74950310,0.77255780,0.78230820,0.71359990,0.73492310,0.80909890,0.72954680,0.82495460
Caudomedial_Entorhinal_Cortex,1.98397400,2.12968300,1.88665200,2.23074000,2.31175000,2.27721400,2.09478200,2.31439300,,2.13268900,2.18508600,2.37936500,2.04356900,2.25087900,2.02625600,2.30254700,2.16467500,2.27293100,2.27356900,2.34236800,2.41171400,2.30810500,2.07227400,2.11628700,2.28040300,2.19839100,2.37572000
Dorsal_Intermediate_Entorhinal_Cortex,0.63213410,0.63085840,0.63186080,0.66812850,0.79360770,0.70202700,0.71369100,0.78340170,,0.69346130,0.67560080,0.64388920,0.65555330,0.67860790,0.65518870,0.72125440,0.60270080,0.71551350,0.68380200,0.72653970,0.68115940,0.68589790,0.64133780,0.70284710,0.68489550,0.72790650,0.70503410
Dorsolateral_Entorhinal_Cortex,1.08201800,1.15355100,1.21779500,1.21442300,1.37781000,1.27629700,1.29224400,1.33653000,,1.21907000,1.11682800,1.32778200,1.13596400,1.33042500,1.19264400,1.30855500,1.16922500,1.30992200,1.23419700,1.24203400,1.25725200,1.24768400,1.24704600,1.15792500,1.26882500,1.30181200,1.31037700
Medial_Entorhinal_Cortex,0.27556200,0.30827590,0.25724590,0.31729730,0.35930590,0.33925840,0.34919100,0.36240410,,0.30936940,0.29852550,0.33051040,0.27310160,0.32039550,0.29652080,0.32868790,0.29560950,0.35010220,0.33852940,0.33051040,0.33051040,0.32221800,0.28385440,0.31593040,0.30818480,0.32030440,0.32385830
Ventral_Intermediate_Entorhinal_Cortex,0.42008630,0.48633410,0.42254660,0.49189280,0.54483640,0.49307740,0.53563280,0.53791090,,0.47749500,0.49544670,0.49371530,0.46719790,0.47740390,0.46400850,0.53098540,0.45635400,0.52970960,0.49499100,0.49954730,0.49745140,0.50310110,0.44314090,0.50073190,0.45844990,0.49371530,0.48988800
Claustrum,0.13076440,0.13349810,0.13832770,0.15518590,0.16156460,0.16448060,0.13194900,0.15017400,,0.15518590,0.13541180,0.14944500,0.13067330,0.16147350,0.12274540,0.13705200,0.13823660,0.14051480,0.14844260,0.16028890,0.13568510,0.14789590,0.15035620,0.13140230,0.16092680,0.15573260,0.16502740
Dorsal_Claustrum,0.03098250,0.03836362,0.03553875,0.03945713,0.05239687,0.04802288,0.04127963,0.04009500,,0.03973050,0.04364888,0.05485725,0.03225825,0.05221463,0.04437787,0.04793175,0.04264650,0.04601813,0.04009500,0.03918375,0.04793175,0.03280500,0.03708788,0.04018613,0.04137075,0.04082400,0.04045950
Posterolateral_Cortical_Amygdaloid_Area,0.76116720,0.79570350,0.76955060,0.84773590,0.87325090,0.87580240,0.83106010,0.86933260,,0.83989910,0.87115500,0.80089770,0.77173760,0.79105620,0.76991520,0.87088170,0.89211380,0.88236340,0.82276770,0.85019630,0.87397990,0.85156320,0.76791040,0.87306860,0.82085400,0.85675730,0.92109160
Ventral_Claustrum,0.09786826,0.10406480,0.09012263,0.10461150,0.12074060,0.13969460,0.11919150,0.13577630,,0.13185790,0.10770980,0.14652900,0.09750375,0.14261060,0.12821290,0.12055840,0.12766610,0.12156080,0.10169550,0.12429450,0.12374780,0.09959963,0.08921137,0.12001160,0.11144590,0.09312975,0.10616060
Hippocampus,15.13541000,14.94614000,15.13194000,15.89876000,15.75415000,15.74358000,14.86786000,16.59860000,,14.37315000,16.04821000,14.05430000,15.29314000,14.70156000,15.29187000,15.43676000,15.86650000,15.28913000,14.76963000,15.09549000,14.94459000,14.93147000,13.88071000,15.01931000,15.16466000,14.63431000,15.37671000
Dorsal_Tenia_Tecta,0.26216660,0.22343850,0.24120790,0.26763410,0.32786770,0.29360480,0.27246380,0.29816100,,0.30408410,0.26845430,0.29251130,0.22562550,0.29506280,0.21277690,0.25633460,0.27601760,0.29661190,0.28230530,0.26280450,0.25533230,0.25934170,0.25742810,0.29132660,0.27027680,0.26216660,0.29324020
Ectorhinal_Cortex,1.06169700,1.06853200,1.07327000,1.14972400,1.44770300,1.25907400,1.35758000,1.27010000,,1.34382000,1.14562400,1.44414900,1.09104000,1.41234600,1.17186700,1.53755200,1.22426400,1.33151900,1.10862700,1.24914200,1.20048100,1.19218800,0.95681250,1.16111500,1.04037400,1.14453000,1.11619000
Parasubiculum,0.55786730,0.60497890,0.48414710,0.60871500,0.58720950,0.56697980,0.55176190,0.64206680,,0.58894090,0.59969370,0.58338220,0.53946000,0.56944010,0.60178950,0.54483640,0.61773640,0.66858420,0.54055350,0.58638940,0.56552180,0.54747900,0.51248700,0.57518100,0.53125880,0.53399250,0.54392520
Perirhinal_Cortex,0.88081430,0.87179290,0.91498610,1.04547700,1.16093300,1.08356700,1.12211300,1.02907500,,1.06816700,0.94104790,1.18590100,0.94332610,1.19665300,0.98661040,1.20840900,0.99426490,1.11609900,0.93840530,1.03563600,1.02278700,0.98979980,0.88081430,0.94760890,0.99626960,0.98041390,0.99736320
Presubiculum,0.08994038,0.09959963,0.08447288,0.10433810,0.10452040,0.11900930,0.10998790,0.11408850,,0.11335950,0.10889440,0.12347440,0.10543160,0.09969075,0.10935000,0.10178660,0.10069310,0.09677475,0.08665988,0.09376763,0.10051090,0.09595463,0.08583976,0.09823275,0.09540788,0.08192138,0.09103388
Piriform_Cortex,24.71337000,24.45303000,24.39972000,26.08663000,28.23709000,27.26925000,24.86583000,27.06850000,,28.12564000,26.02530000,26.84451000,24.65669000,28.84699000,24.90966000,26.41030000,27.17822000,26.41021000,25.53687000,26.18094000,26.11050000,26.50881000,23.85352000,26.24245000,26.75886000,25.60002000,27.22678000
Amygdalopiriform_Transition_Area,0.10333580,0.10816540,0.10406480,0.13295140,0.13076440,0.12256310,0.11891810,0.12329210,,0.11572880,0.11873590,0.11244830,0.10935000,0.10597840,0.12347440,0.13185790,0.11509090,0.13122000,0.12393000,0.13796330,0.13568510,0.12538800,0.11099030,0.12301880,0.11618440,0.13349810,0.13377150
Hypothalamus,4.82260800,4.97159800,5.02563500,5.12660200,5.40034100,5.41273400,5.09598400,5.43305500,,5.43788400,5.20578900,5.33245300,4.77978000,5.34247700,4.94052400,5.36061000,5.41984200,5.25344800,4.95993400,4.84311200,4.96467300,5.05351900,4.42129400,5.18628800,5.11840000,4.98845600,5.12988200
Preoptic_Telencephalon,2.56653600,2.57929300,2.54093000,2.82214100,2.91080600,3.15884800,2.65993900,2.88720500,,2.86980000,2.77512100,3.06489800,2.61574300,2.95117400,2.61756600,2.79717300,2.84200700,2.70541000,2.64371800,2.74076700,2.70058100,2.71780300,2.46083100,2.72892000,2.76145200,2.67005400,2.80118300
